slug,in_blends,risk_tier,risk_score,alias_terms,practical_curated,overview_curated,evidence_count,pr_counts,pr_bottom_line
selank,0,,,0,0,1,2,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
semax,0,,,0,0,1,2,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
tesamorelin,0,,,0,0,1,2,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ss-31,0,,,0,0,1,1,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
5-amino-1mq,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
abaloparatide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
adipotide,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
afamelanotide,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
amylin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
angiotensin-ii,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ara-290,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
atrial-natriuretic-peptide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
bivalirudin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
bpc-157-arginate,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
bradykinin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
brain-natriuretic-peptide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
calcitonin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
carbetocin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
cgrp,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
cjc-1295-dac,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
desmopressin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
dsip,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
endothelin-1,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
epitalon,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
eptifibatide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
exenatide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
follistatin-344,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ghrp-2,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ghrp-6,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
glucagon,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
glutathione,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
gonadorelin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
hcg,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
humanin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
igf-1,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
igf-1-lr3,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
kisspeptin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
lanreotide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
leuprolide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
linaclotide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
liraglutide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ll-37,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
mazdutide,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
melanotan-i,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
mk-677,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
motilin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
nad-plus,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
nesiritide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
neuropeptide-s,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
neuropeptide-y,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
octreotide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
orexin-a,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
oxytocin,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
palmitoyl-pentapeptide-4,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
palmitoyl-tripeptide-1,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
peg-mgf,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
pentagastrin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
plecanatide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
pramlintide,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
prolactin-releasing-peptide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
retatrutide,0,,,0,1,1,0,4/4/3/0,Most people look into retatrutide for appetite control and fat-loss support. The practical keys are: eat enough protein …
secretin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
semaglutide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
sermorelin,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
shlp-2,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
snap-8,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
somatostatin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
substance-p,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
survodutide,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
teriparatide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
thymosin-beta-4,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
thymosin-beta-4-full,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
thymulin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
tirzepatide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
triptorelin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
vasopressin,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
vip,0,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ziconotide,0,,,0,0,0,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
